electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
21 de mayo 576,metropolitana,Santiago,-33.43628,-70.65014,7,AC,7,8,,,,commercial,,Santiago,-70.65054106906601,-33.43640526844666,commercial,10,39.79513348895535
agustinas 735,metropolitana,Santiago,-33.44038,-70.64727,7,AC,7,3,Estacionamiento Subterraneo Teatro Municipal,parking,,,,Santiago,-70.6473732,-33.44044639999999,parking,25,12.095084110277062
avenida libertador bernardo ohiggins 816,metropolitana,Santiago,-33.44379,-70.64849,"7,7",AC,"7,7",2,Instituto Profesional Carlos Casanueva,university,,,,Santiago,-70.6481321,-33.4444122,university,10,76.6060462884075
avenida vicuna mackena 885,metropolitana,Santiago,-33.45304,-70.6308,70,DC,60,3,,,,commercial,,Santiago,-70.6311597612701,-33.452248733493896,commercial,10,93.90834630674904
cardenal jose maria caro 870,metropolitana,Santiago,-33.43371,-70.6484,"7,4",AC,"7,4",3,Estacionamiento Subterráneo Parque Forestal,parking,,,,Santiago,-70.6481489,-33.43382509999999,parking,25,26.609486433267264
catedral 1850,metropolitana,Santiago,-33.4389,-70.66323,70,DC,50,4,Tottus,,supermarket,retail,,Santiago,-70.6631277305474,-33.438908695158375,supermarket,10,9.557576795592741
enrique mac iver #424,metropolitana,Santiago,-33.4378,-70.64747,22,AC,22,1,Enel X,charging_station,,,,Santiago,-70.6471922,-33.43785940000001,charging_station,30,26.656244781045185
"moneda #1326, esquina teatinos",metropolitana,Santiago,-33.44228,-70.6549,44,AC,22,2,Enel X,charging_station,,,,Santiago,-70.6551213,-33.4423388,charging_station,30,21.583789402239066
nataniel cox 620,metropolitana,Santiago,-33.45378,-70.65204,70,DC,60,4,Tottus,,supermarket,yes,,Santiago,-70.65209604286697,-33.45376176353924,supermarket,10,5.588621237122448
paseo bulnes 141,metropolitana,Santiago,-33.44743,-70.6533,7,AC,7,6,Los Alpes,,supermarket,,,Santiago,-70.6532587,-33.4473615,supermarket,10,8.511875483998415
san isiidro 85,metropolitana,Santiago,-33.44436,-70.64454,98,AC,43,3,,parking,,,,Santiago,-70.6447894775325,-33.44425195636809,parking,25,26.106435370740957
santa rosa 76,metropolitana,Santiago,-33.44476,-70.64557,7,AC,7,3,Edificio Santa Rosa 76,,,office,,Santiago,-70.64514120798856,-33.444706061814,office,8,40.31157420894808
victoria subercaseaux 400,metropolitana,Santiago,-33.43821,-70.64277,7,AC,7,3,Galería Lastarria,,mall,yes,,Santiago,-70.6415909843366,-33.43884498444989,mall,20,130.29175650571878
,,,,,,,,0,Estacionamiento,parking,,,,Santiago,-70.6568744,-33.440623599999995,parking,25,
,,,,,,,,0,Santa Isabel,,supermarket,,,Santiago,-70.63749080000001,-33.443164499999995,supermarket,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6600965,-33.473374,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6575791,-33.473167,parking,25,
,,,,,,,,0,Lira 85,parking,,,,Santiago,-70.6410871,-33.44397989999999,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6596468,-33.432300700000006,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6593459,-33.44272749999999,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6483656,-33.474029300000005,parking,25,
,,,,,,,,0,Mercado Persa Bio-Bío,parking,,,,Santiago,-70.6450609,-33.4743483,parking,25,
,,,,,,,,0,Los Alpes,,supermarket,,,Santiago,-70.6548593,-33.44533710000001,supermarket,10,
,,,,,,,,0,Unimarc,,supermarket,,,Santiago,-70.6393551,-33.440891400000005,supermarket,10,
,,,,,,,,0,Escuela de Ingeniería Universidad de Chile,university,,,,Santiago,-70.6635288,-33.45777249999999,university,10,
,,,,,,,,0,Lider,,supermarket,,,Santiago,-70.6475955,-33.4371234,supermarket,10,
,,,,,,,,0,Estacionamiento publico,parking,,,,Santiago,-70.645224,-33.439995999999994,parking,25,
,,,,,,,,0,Estacionamiento Calle Moneda,parking,,,,Santiago,-70.645761,-33.44137800000001,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6570673,-33.44777789999999,parking,25,
,,,,,,,,0,O2 deportes,,supermarket,,,Santiago,-70.6519719,-33.43987469999999,supermarket,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6646859,-33.4322847,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Santiago,-70.6491123,-33.4639103,fuel,10,
,,,,,,,,0,Estacionamiento Huerfanos/Miraflores,parking,,,,Santiago,-70.6458286,-33.4387919,parking,25,
,,,,,,,,0,Estacionamiento Subterráneo Mall del Centro,parking,,,,Santiago,-70.6504232,-33.4350606,parking,25,
,,,,,,,,0,Estacionamiento Subterráneo Santa Isabel,parking,,,,Santiago,-70.6500883,-33.43383539999999,parking,25,
,,,,,,,,0,Club Hipico,parking,,,,Santiago,-70.6680125,-33.45794,parking,25,
,,,,,,,,0,Santa Isabel,,supermarket,,,Santiago,-70.6566663,-33.4448365,supermarket,10,
,,,,,,,,0,Estacionamiento Merced,parking,,,,Santiago,-70.6445571,-33.437673100000005,parking,25,
,,,,,,,,0,Estacionamiento Santa Lucia,parking,,,,Santiago,-70.6440099,-33.43880409999999,parking,25,
,,,,,,,,0,Estacionamiento Monjitas,parking,,,,Santiago,-70.6418653,-33.4368904,parking,25,
,,,,,,,,0,,car_wash,,,,Santiago,-70.637,-33.444955199999995,car_wash,2,
,,,,,,,,0,Autogasco,fuel,,,,Santiago,-70.6730081,-33.43261830000001,fuel,10,
,,,,,,,,0,Santa Isabel,,supermarket,,,Santiago,-70.65732,-33.44012560000001,supermarket,10,
,,,,,,,,0,Estacionamiento publico,parking,,,,Santiago,-70.64494400000001,-33.4401981,parking,25,
,,,,,,,,0,Lider Express,,supermarket,,,Santiago,-70.6483719,-33.43890009999999,supermarket,10,
,,,,,,,,0,Santa Isabel,,supermarket,,,Santiago,-70.649842,-33.433708,supermarket,10,
,,,,,,,,0,Lider Express,,supermarket,,,Santiago,-70.6520296,-33.43612649999999,supermarket,10,
,,,,,,,,0,Unimarc,,supermarket,,,Santiago,-70.6539661,-33.4388305,supermarket,10,
,,,,,,,,0,Instituto Profesional Chileno Británico de Cultura,university,,,,Santiago,-70.6449589,-33.4391887,university,10,
,,,,,,,,0,Aulario UDP,university,,,,Santiago,-70.6605627,-33.451039,university,10,
,,,,,,,,0,Facultad Medicina UDP,university,,,,Santiago,-70.6611211,-33.4500744,university,10,
,,,,,,,,0,Estacionamiento Privado Universidad,parking,,,,Santiago,-70.6595991,-33.451210399999994,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6607454,-33.4513366,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6605365,-33.45120779999999,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6608052,-33.44997089999999,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6448199,-33.4488887,parking,25,
,,,,,,,,0,Universidad de Chile,parking,,,,Santiago,-70.6648004,-33.4583407,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6630494,-33.47225649999999,parking,25,
,,,,,,,,0,Postgrados UTEM,university,,,,Santiago,-70.658227,-33.4481572,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6568514,-33.4721778,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6562271,-33.456362,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.661342,-33.4709416,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6750359,-33.450038,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6580329,-33.4710496,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6580999,-33.470628999999995,parking,25,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6792179,-33.43748459999999,fuel,10,
,,,,,,,,0,Lider Express,,supermarket,,,Santiago,-70.6567675,-33.44389420000001,supermarket,10,
,,,,,,,,0,Super 10,,supermarket,,,Santiago,-70.649981,-33.43398369999999,supermarket,10,
,,,,,,,,0,Ekono,,supermarket,,,Santiago,-70.6762719,-33.43545540000001,supermarket,10,
,,,,,,,,0,OK market,,supermarket,,,Santiago,-70.6608711,-33.45356,supermarket,10,
,,,,,,,,0,Montserrat,,supermarket,,,Santiago,-70.6504596,-33.46358279999999,supermarket,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6364499,-33.44080610000001,parking,25,
,,,,,,,,0,Supermarket Al Toque,,supermarket,,,Santiago,-70.62684930000002,-33.4668714,supermarket,10,
,,,,,,,,0,Galería San Antonio,,mall,,,Santiago,-70.6488845,-33.4384034,mall,20,
,,,,,,,,0,Universidad Central,university,,,,Santiago,-70.6600272,-33.452967399999984,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6722466,-33.45536760000001,parking,25,
,,,,,,,,0,Supermercado Los Zuluagas,,supermarket,,,Santiago,-70.6584304,-33.44515719999999,supermarket,10,
,,,,,,,,0,El Dragón,,supermarket,,,Santiago,-70.6715481,-33.46953350000001,supermarket,10,
,,,,,,,,0,Parking Garage,parking,,,,Santiago,-70.6767093,-33.453141,parking,25,
,,,,,,,,0,Supermercado Chino,,supermarket,,,Santiago,-70.6760371,-33.45517629999999,supermarket,10,
,,,,,,,,0,Ahorra Food Depot,,supermarket,,,Santiago,-70.6499932,-33.4535202,supermarket,10,
,,,,,,,,0,Nature Market,,supermarket,,,Santiago,-70.6513276,-33.4473791,supermarket,10,
,,,,,,,,0,Portal Bulnes,,mall,,,Santiago,-70.6496559,-33.4376893,mall,20,
,,,,,,,,0,Galería Agustín Edwards,,mall,,,Santiago,-70.6516098,-33.43912610000001,mall,20,
,,,,,,,,0,Galería San Antonio,,mall,,,Santiago,-70.6491302,-33.4349364,mall,20,
,,,,,,,,0,Gallería Pasaje Matte,,mall,,,Santiago,-70.6501793,-33.439147600000005,mall,20,
,,,,,,,,0,Shell,fuel,,,,Santiago,-70.663888,-33.43994039999999,fuel,10,
,,,,,,,,0,Lider Express,,supermarket,,,Santiago,-70.6444027,-33.43796350000001,supermarket,10,
,,,,,,,,0,Shell,fuel,,,,Santiago,-70.6371067,-33.444832600000005,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Santiago,-70.6449381,-33.4634876,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Santiago,-70.6735915,-33.44602140000001,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Santiago,-70.6522214,-33.454569000000006,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6450576,-33.45906269999999,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6499301,-33.470112900000004,fuel,10,
,,,,,,,,0,Galería Comercial Metro,,mall,,,Santiago,-70.650323,-33.4437739,mall,20,
,,,,,,,,0,"UTEM, Universidad Tecnológica Metropolitana. Escuela de Arquitectura",university,,,,Santiago,-70.6574577,-33.44972099999999,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6642151,-33.4597263,parking,25,
,,,,,,,,0,Santa Isabel,,supermarket,,,Santiago,-70.6495226,-33.433837800000006,supermarket,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6429556,-33.4463785,fuel,10,
,,,,,,,,0,Estacionamiento,parking,,,,Santiago,-70.6494362,-33.4468843,parking,25,
,,,,,,,,0,Centro de Prácticas Profesionales UDLA,university,,,,Santiago,-70.6657416,-33.45007869999999,university,10,
,,,,,,,,0,Facultad de Derecho UDLA,university,,,,Santiago,-70.6663007,-33.4501176,university,10,
,,,,,,,,0,Universidad Miguel de Cervantes,university,,,,Santiago,-70.647106,-33.4383874,university,10,
,,,,,,,,0,Minimarket sub,,supermarket,,,Santiago,-70.6545194,-33.43666840000001,supermarket,10,
,,,,,,,,0,"Facultad de arte, arquitectura y diseño Universidad Diego Portales",university,,,,Santiago,-70.6676391,-33.4506596,university,10,
,,,,,,,,0,Universidad Diego Portales,university,,,,Santiago,-70.666922,-33.44959,university,10,
,,,,,,,,0,Facultad de Comunicación y Letras  Universidad Diego Portales,university,,,,Santiago,-70.66165,-33.45022159999999,university,10,
,,,,,,,,0,Facultad de derecho Universidad Diego Portales,university,,,,Santiago,-70.6682281,-33.4503026,university,10,
,,,,,,,,0,Facultad de Educación Diego Portales,university,,,,Santiago,-70.661756,-33.4498816,university,10,
,,,,,,,,0,Facultad de Salud y Odontología Universidad Diego Portales,university,,,,Santiago,-70.6600348,-33.4499524,university,10,
,,,,,,,,0,Gimnasio UDP,university,,,,Santiago,-70.6598118,-33.4513455,university,10,
,,,,,,,,0,Instituto de Filosofía Udp,university,,,,Santiago,-70.6607069,-33.45005949999999,university,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6599265,-33.4343759,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6564035,-33.47205810000001,fuel,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6442749,-33.44493429999999,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6531377,-33.4474063,parking,25,
,,,,,,,,0,Galería Metropolitana,,mall,,,Santiago,-70.6467006,-33.442044499999994,mall,20,
,,,,,,,,0,Petrobras,fuel,,,,Santiago,-70.6442933,-33.453428,fuel,10,
,,,,,,,,0,Centro de Formación Técnica Alpes,university,,,,Santiago,-70.6678793,-33.4560176,university,10,
,,,,,,,,0,Centro de Formación Técnica Accioma,university,,,,Santiago,-70.6584543,-33.45029100000001,university,10,
,,,,,,,,0,Centro de Formación Técnica ICEL,university,,,,Santiago,-70.6717317,-33.4492959,university,10,
,,,,,,,,0,Centro de Formación Técnica Paulina Diard,university,,,,Santiago,-70.6523992,-33.43606409999999,university,10,
,,,,,,,,0,Escuela de Comercio de Santiago Campus Sazié,university,,,,Santiago,-70.6624941,-33.4501102,university,10,
,,,,,,,,0,Escuela de Comercio de Santiago Campus Republica,university,,,,Santiago,-70.6675431,-33.450900000000004,university,10,
,,,,,,,,0,Instituto Chileno Británico de Cultura,university,,,,Santiago,-70.6622955,-33.4427942,university,10,
,,,,,,,,0,Instituto Profesional CIISA,university,,,,Santiago,-70.6663594,-33.44686200000001,university,10,
,,,,,,,,0,Instituto Profesional del Valle Central Santiago,university,,,,Santiago,-70.6585596,-33.449165599999986,university,10,
,,,,,,,,0,Instituto Profesional Duoc UC Sede Padre Alonso de Ovalle,university,,,,Santiago,-70.6577737,-33.447305799999995,university,10,
,,,,,,,,0,Universidad Los Leones,university,,,,Santiago,-70.6518964,-33.4481675,university,10,
,,,,,,,,0,Instituto Profesional Los Leones sedes Santiago,university,,,,Santiago,-70.6677121,-33.44959509999999,university,10,
,,,,,,,,0,Instituto Profesional Vertical,university,,,,Santiago,-70.6620093,-33.4473488,university,10,
,,,,,,,,0,Instituto Profesional Vertical,university,,,,Santiago,-70.6606927,-33.4482203,university,10,
,,,,,,,,0,Universidad Academia de Humanismo Cristiano Campus Brasil,university,,,,Santiago,-70.6632372,-33.44113089999999,university,10,
,,,,,,,,0,Universidad Academia de Humanismo Cristiano Casa Barroso,university,,,,Santiago,-70.6625804,-33.4400049,university,10,
,,,,,,,,0,Universidad Academia de Humanismo Cristiano Casa Arrau,university,,,,Santiago,-70.6664057,-33.441435799999994,university,10,
,,,,,,,,0,Universidad Bolivariana,university,,,,Santiago,-70.6615143,-33.440436899999995,university,10,
,,,,,,,,0,Universidad Católica del Norte (UCN) SeDe Santiago,university,,,,Santiago,-70.639799,-33.4401927,university,10,
,,,,,,,,0,Universidad de Las Américas,university,,,,Santiago,-70.668407,-33.449461199999995,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6519895,-33.456337899999994,parking,25,
,,,,,,,,0,Universidad Academia de Humanismo Cristiano Casa Catedral,university,,,,Santiago,-70.6615345,-33.4383302,university,10,
,,,,,,,,0,Copec,fuel,,,,Santiago,-70.6721225,-33.4771592,fuel,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6423031,-33.4725056,parking,25,
,,,,,,,,0,Universidad Academia de Humanismo Cristiano Casa Agustina,university,,,,Santiago,-70.6654222,-33.44203999999999,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6583649,-33.45591400000001,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.65087940000001,-33.459282899999984,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6549041,-33.4641106,parking,25,
,,,,,,,,0,Lider Express,,supermarket,,,Santiago,-70.6479126,-33.47576409999999,supermarket,10,
,,,,,,,,0,,parking,,,,Santiago,-70.6476454,-33.47061670000001,parking,25,
,,,,,,,,0,Facultad de Artes de la Universidad de Chile,university,,,,Santiago,-70.6547764,-33.43907879999998,university,10,
,,,,,,,,0,Los Alpes,,supermarket,,,Santiago,-70.6552661,-33.4388377,supermarket,10,
,,,,,,,,0,Los Alpes,,supermarket,,,Santiago,-70.6545794,-33.43762830000001,supermarket,10,
,,,,,,,,0,Estadio Militar,,,,stadium,Santiago,-70.6612152768579,-33.472272113910726,stadium,20,
,,,,,,,,0,Biblioteca Nacional de Chile,library,,office,,Santiago,-70.64572906148909,-33.44207105384273,library,13,
,,,,,,,,0,,,,commercial,,Santiago,-70.65266039370469,-33.4401810905147,commercial,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.65246249761772,-33.44071317124657,commercial,10,
,,,,,,,,0,,,,office,,Santiago,-70.66235618738179,-33.45371065098859,office,8,
,,,,,,,,0,,,,office,,Santiago,-70.6499894745308,-33.43972614529254,office,8,
,,,,,,,,0,Hospital San Juan de Dios,hospital,,,,Santiago,-70.67909093250101,-33.442393261702435,hospital,6,
,,,,,,,,0,Bolsa de Comercio de Santiago,,,commercial,,Santiago,-70.6515699016275,-33.442728679987376,commercial,10,
,,,,,,,,0,Campus Patrimonial Universidad Alberto Hurtado,university,,,,Santiago,-70.66225356991065,-33.445022047088855,university,10,
,,,,,,,,0,Universidad Diego Portales,university,,,,Santiago,-70.66043345517289,-33.4505901940222,university,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.64892446603774,-33.442005876121826,commercial,10,
,,,,,,,,0,Universidad Mayor Campus Santo Domingo,university,,university,,Santiago,-70.6477281136793,-33.435530992885326,university,10,
,,,,,,,,0,The Garden Hostel & Food,,mall,yes,,Santiago,-70.66546359206298,-33.44569737010524,mall,20,
,,,,,,,,0,,,,commercial,,Santiago,-70.65172627220528,-33.44109711743774,commercial,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.65200293831124,-33.43839026661702,commercial,10,
,,,,,,,,0,Club Hípico de Santiago,,,,stadium,Santiago,-70.66835123533143,-33.46356378760531,stadium,20,
,,,,,,,,0,Universidad de Chile (Facultad de Economía y Negocios),university,,,,Santiago,-70.63603406706356,-33.441801053076695,university,10,
,,,,,,,,0,Mercado Central de Santiago,marketplace,marketplace,retail,,Santiago,-70.65105672628066,-33.43379418259558,marketplace,13,
,,,,,,,,0,Casa Central Universidad de Chile,university,,yes,,Santiago,-70.65097137431117,-33.44455485742408,university,10,
,,,,,,,,0,Plaza Elizondo,,,commercial,,Santiago,-70.64579801387112,-33.475943195219955,commercial,10,
,,,,,,,,0,Persa de las Mujeres,,,commercial,,Santiago,-70.6446742019714,-33.47589212190313,commercial,10,
,,,,,,,,0,Lider Express,,supermarket,retail,,Santiago,-70.65744922322759,-33.454139414043766,supermarket,10,
,,,,,,,,0,Universidad Central,university,,,,Santiago,-70.65156935880178,-33.45259997085961,university,10,
,,,,,,,,0,Torre 1,,,office,,Santiago,-70.6568709149549,-33.444603169489085,office,8,
,,,,,,,,0,Universidad Central,university,,,,Santiago,-70.65528147288649,-33.45138458230758,university,10,
,,,,,,,,0,Universidad Central - Centro de Extensión,university,,yes,,Santiago,-70.65409999952337,-33.45140519428355,university,10,
,,,,,,,,0,Mall Exposición,,mall,yes,,Santiago,-70.6775447975682,-33.45191415206848,mall,20,
,,,,,,,,0,Galeria Plaza Santiago,,mall,yes,,Santiago,-70.63691026031225,-33.438476453070095,mall,20,
,,,,,,,,0,Ripley Huérfanos,,,commercial,,Santiago,-70.64920540249791,-33.43972605373185,commercial,10,
,,,,,,,,0,"Taller Mecánico, Universidad de Chile",university,,,,Santiago,-70.67280050033119,-33.457816549864205,university,10,
,,,,,,,,0,Instituto Bíblico Nacional,,,office,,Santiago,-70.66030532449929,-33.45248576144913,office,8,
,,,,,,,,0,Santa Isabel,,supermarket,yes,,Santiago,-70.64250652277042,-33.47228578724533,supermarket,10,
,,,,,,,,0,Universidad de Chile (Facultad de Arquitectura y Urbanismo),university,,,,Santiago,-70.63739513635491,-33.4418024349912,university,10,
,,,,,,,,0,Universidad de Chile (Oficinas Centrales),university,,,,Santiago,-70.63754946813175,-33.4426564711124,university,10,
,,,,,,,,0,Torre 15,,,commercial,,Santiago,-70.63769558029871,-33.44267070664642,commercial,10,
,,,,,,,,0,Universidad de Chile,university,,,,Santiago,-70.63528919302462,-33.441301320070345,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.63507646178013,-33.440958813530806,parking,25,
,,,,,,,,0,Paseo San Agustín,,mall,supermarket,,Santiago,-70.64864667457142,-33.44137238905135,mall,20,
,,,,,,,,0,Centro de Especialidades Médicas UC,hospital,,,,Santiago,-70.6400986453831,-33.44233898278529,hospital,6,
,,,,,,,,0,Pontificia Universidad Católica de Chile,university,,,,Santiago,-70.64040797031835,-33.44180212630104,university,10,
,,,,,,,,0,Privado,parking,,,,Santiago,-70.66649727993611,-33.45616949116708,parking,25,
,,,,,,,,0,Privado,parking,,,,Santiago,-70.66629262734983,-33.45707256401104,parking,25,
,,,,,,,,0,Privado,parking,,,,Santiago,-70.66575096659392,-33.45617939179307,parking,25,
,,,,,,,,0,,,,commercial,,Santiago,-70.66648935021226,-33.455877193153064,commercial,10,
,,,,,,,,0,Pontificia Universidad Católica de Chile,parking,,,,Santiago,-70.63917339068422,-33.442989908724655,parking,25,
,,,,,,,,0,Mall Vivo El Centro,,mall,yes,,Santiago,-70.65094065773887,-33.43527915844471,mall,20,
,,,,,,,,0,Parque de los Reyes,parking,,,,Santiago,-70.67046214750384,-33.42767678869267,parking,25,
,,,,,,,,0,Universidad Iberoamericana de Ciencias y Tecnología,university,,,,Santiago,-70.65811587337126,-33.4496911332425,university,10,
,,,,,,,,0,Pontificia Universidad Católica de Chile,parking,,,,Santiago,-70.63877611082343,-33.44300676232505,parking,25,
,,,,,,,,0,Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas),university,,,,Santiago,-70.66374531501594,-33.45657044891804,university,10,
,,,,,,,,0,Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas),university,,,,Santiago,-70.66231866245397,-33.45768778235045,university,10,
,,,,,,,,0,Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas),university,,,,Santiago,-70.6677058205703,-33.456604281636494,university,10,
,,,,,,,,0,Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas),university,,,,Santiago,-70.66447673618133,-33.45784075360902,university,10,
,,,,,,,,0,Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas),university,,,,Santiago,-70.66700468797559,-33.45706697175396,university,10,
,,,,,,,,0,Edificio del Comercio,,,commercial,,Santiago,-70.64313908259605,-33.43671445883753,commercial,10,
,,,,,,,,0,Estacionamiento Merced,parking,,yes,,Santiago,-70.64174167633819,-33.43708110509229,parking,25,
,,,,,,,,0,Estacionamiento Avenida República,parking,,,,Santiago,-70.66701115527448,-33.4549234046338,parking,25,
,,,,,,,,0,Universidad de Los Lagos,university,,,,Santiago,-70.6676618239554,-33.45495258702655,university,10,
,,,,,,,,0,IGM parking,parking,,,,Santiago,-70.65743656387232,-33.45219739329427,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.65214533627466,-33.44571957792707,parking,25,
,,,,,,,,0,Santa Isabel,,supermarket,yes,,Santiago,-70.6641051354605,-33.45175433794655,supermarket,10,
,,,,,,,,0,Biblioteca Campus Central UTEM,university,,yes,,Santiago,-70.65895692783936,-33.4496326718162,university,10,
,,,,,,,,0,INACAP Santiago Centro,university,,,,Santiago,-70.66233007497279,-33.44350998075815,university,10,
,,,,,,,,0,Archivo Nacional de Chile,,,office,,Santiago,-70.6452676865027,-33.441955154962,office,8,
,,,,,,,,0,Hospital San Borja Arriarán,hospital,,,,Santiago,-70.64148848470768,-33.46108306796131,hospital,6,
,,,,,,,,0,Torre 2,,,office,,Santiago,-70.65644955613962,-33.44437732597701,office,8,
,,,,,,,,0,Facultad de Odontologia,university,,public,,Santiago,-70.66400804579938,-33.44631878271177,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.65974165056603,-33.447751216119805,parking,25,
,,,,,,,,0,"Facultad de Arquitectura, Diseño y Construcción - Universidad Mayor",university,,,,Santiago,-70.63671723284202,-33.4468568672571,university,10,
,,,,,,,,0,Facultad de Medicina Universidad de Chile,university,,,,Santiago,-70.6834310848693,-33.442695843465,university,10,
,,,,,,,,0,Estacionamiento Parque de los Reyes,parking,,,,Santiago,-70.65756370498198,-33.43141633192881,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.6790626164571,-33.442577751086695,parking,25,
,,,,,,,,0,,,,commercial,,Santiago,-70.65126444548713,-33.44056001536074,commercial,10,
,,,,,,,,0,Universidad Diego Portales,university,,,,Santiago,-70.66737829532653,-33.45061477625203,university,10,
,,,,,,,,0,Mall Espacio M,,mall,retail,,Santiago,-70.65418346905926,-33.43910837029351,mall,20,
,,,,,,,,0,,public_building,,office,,Santiago,-70.66662070380775,-33.45519590609685,public_building,13,
,,,,,,,,0,,,,office,,Santiago,-70.66652823817827,-33.45540525014654,office,8,
,,,,,,,,0,,,,commercial,,Santiago,-70.66589140248298,-33.45415756087473,commercial,10,
,,,,,,,,0,,,,office,,Santiago,-70.66610451808589,-33.45330070112656,office,8,
,,,,,,,,0,,,,commercial,,Santiago,-70.66605110507362,-33.45323860972608,commercial,10,
,,,,,,,,0,Universidad Diego Portales,university,,,,Santiago,-70.66026398438885,-33.450061378166495,university,10,
,,,,,,,,0,,parking,,,,Santiago,-70.65702267357732,-33.452190022323606,parking,25,
,,,,,,,,0,Tecnicor,parking,,,,Santiago,-70.65775882923099,-33.45003078032414,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.65942971693669,-33.44793922611708,parking,25,
,,,,,,,,0,,parking,,,,Santiago,-70.65920738869181,-33.447868295486266,parking,25,
,,,,,,,,0,Diseño Universidad Tecnológica Metropolitana,,,office,,Santiago,-70.65848077532722,-33.44756822510883,office,8,
,,,,,,,,0,Buses JAC,,,commercial,,Santiago,-70.66056024930336,-33.449322705943665,commercial,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.6604410459195,-33.45332659389546,commercial,10,
,,,,,,,,0,,parking,,,,Santiago,-70.65877935852775,-33.44704801106141,parking,25,
,,,,,,,,0,Cooperativa de Ahorro y Crédito,,,commercial,,Santiago,-70.65885302684667,-33.44743281514429,commercial,10,
,,,,,,,,0,Observatorio Latinoamericano de Conflictos Ambientales,,,office,,Santiago,-70.6587072320154,-33.447381401985,office,8,
,,,,,,,,0,Facultad de Humanidades y Tecnologías de la Comunicación Social,university,,university,,Santiago,-70.65851089705448,-33.44738956506451,university,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.66029894359338,-33.45413045238975,commercial,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.65983944571882,-33.45165849310921,commercial,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.65993158445154,-33.451687037704275,commercial,10,
,,,,,,,,0,,,,commercial,,Santiago,-70.66104655156713,-33.44703315271319,commercial,10,
