electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
uno sur frente a 0151,metropolitana,San José de Maipo,-33.64081,-70.35401,"43,56",AC,"21,78",2,,,supermarket,,,San José de Maipo,-70.3526572,-33.641141299999994,supermarket,10,18,0,130.7435740205747,48
,,,,,,,,0,Hotel Guayacan,parking,,,,San José de Maipo,-70.349827,-33.618476599999994,parking,25,30,0,,17
,,,,,,,,0,Hotel Guayacan,parking,,,,San José de Maipo,-70.3484108,-33.61799859999999,parking,25,30,0,,17
,,,,,,,,0,Hospital San José de Maipo,hospital,,,,San José de Maipo,-70.3518598,-33.64094,hospital,6,25,0,,13
,,,,,,,,0,Camino El Alfalfal,parking,,,,San José de Maipo,-70.2489444,-33.5282667,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.061073,-33.8227389,parking,25,30,0,,17
,,,,,,,,0,Fundo San Lorenzo,parking,,,,San José de Maipo,-70.2845111,-33.74320600000001,parking,25,30,0,,17
,,,,,,,,0,Fundo San Lorenzo,parking,,,,San José de Maipo,-70.2846294,-33.7436029,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.3838421,-33.58765879999999,parking,25,30,0,,17
,,,,,,,,0,San José,,supermarket,,,San José de Maipo,-70.3519756,-33.6379274,supermarket,10,18,0,,19
,,,,,,,,0,,parking,,,,San José de Maipo,-70.3465997,-33.6805523,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.0388018,-33.780052,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-69.9819435,-33.85347159999999,parking,25,30,0,,17
,,,,,,,,0,Petrobras,fuel,,,,San José de Maipo,-70.3981678,-33.583689799999995,fuel,10,20,0,,18
,,,,,,,,0,,parking,,,,San José de Maipo,-70.020851,-33.8182982,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.2237909,-33.82275859999999,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.0825366,-33.6645713,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.3331926,-33.6487847,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-69.98064390309884,-33.853508753832074,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.22040802194849,-33.79288879714928,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.35258028299353,-33.641840358660474,parking,25,30,0,,17
,,,,,,,,0,San José,,supermarket,yes,,San José de Maipo,-70.35335013127967,-33.63703808040891,supermarket,10,18,0,,19
,,,,,,,,0,Supermercado Abasto,,supermarket,yes,,San José de Maipo,-70.35269534999284,-33.64182649998537,supermarket,10,18,0,,19
,,,,,,,,0,Copec,fuel,,,,San José de Maipo,-70.3530431892259,-33.64404763138189,fuel,10,20,0,,18
,,,,,,,,0,,parking,,,,San José de Maipo,-70.22223477009139,-33.516816202559184,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.34883193347284,-33.70216154258615,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.34857981405311,-33.68682423530605,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.19654943851636,-33.50364236083413,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.47247590000191,-33.5917964000043,parking,25,30,0,,17
,,,,,,,,0,,,,retail,,San José de Maipo,-70.39822612346133,-33.583877902377374,retail,6,12,0,,8
,,,,,,,,0,,parking,,,,San José de Maipo,-70.33542658224712,-33.69359018862462,parking,25,30,0,,17
,,,,,,,,0,,parking,,,,San José de Maipo,-70.33432176524121,-33.69979324442151,parking,25,30,0,,17
